row,code,subject_area,
2220,10.110.250.170.30,Taste buds,
2225,10.120,Chronobiology,
2227,10.120.20,Circadian rhythms,
2228,10.120.30,Daylight,
2229,10.120.30.10,Sunrise,
2230,10.120.30.20,Sunset,
2231,10.120.30.30,Twilight,
2232,10.130,Computational biology,
2234,10.130.20,Biological data management,
2235,10.130.30,Bioontologies,
2237,10.130.50,Comparative genomics,
2238,10.130.60,Computational neuroscience,
2239,10.130.60.10,Artificial neural networks,
2240,10.130.60.20,Coding mechanisms,
2241,10.130.60.30,Single neuron function,
2242,10.130.70,Ecosystem modeling,
2243,10.130.80,Epigenomics,
2244,10.130.90,Evolutionary modeling,
2245,10.130.100,Gene regulatory networks,
2246,10.130.110,Genome analysis,
2247,10.130.110.10,Array CGH,
2248,10.130.110.20,Chromatin immunoprecipitation,
2249,10.130.110.30,Gene ontologies,
2250,10.130.110.30.10,Gene ontology annotations,
2251,10.130.110.30.20,Gene ontology associations,
2252,10.130.110.30.30,Gene ontology curation,
2253,10.130.110.30.40,Reference Genome Project,
2254,10.130.110.40,Gene prediction,
2255,10.130.110.50,Genetic networks,
2256,10.130.110.60,Genome annotation,
2257,10.130.110.70,Genome scans,
2258,10.130.110.80,Genome-wide association studies,
2259,10.130.110.80.10,Family-based association studies,
2260,10.130.110.80.20,Quantitative trait association studies,
2261,10.130.110.80.30,Statistical analysis of genetic association,
2262,10.130.110.90,Genomic databases,
2263,10.130.110.100,Genomic libraries,
2264,10.130.110.110,Sequence assembly tools,
2265,10.130.110.120,Spacer regions,
2266,10.130.110.130,Trait locus analysis,
2267,10.130.110.140,Transcriptome analysis,
2268,10.130.110.140.10,Genome expression analysis,
2269,10.130.110.140.20,Next-generation sequencing,
2270,10.130.110.140.30,Serial analysis of gene expression,
2271,10.130.120,Genome complexity,
2272,10.130.120.10,Copy number variation,
2273,10.130.120.20,Duplicated genes,
2274,10.130.120.30,Introns,
2275,10.130.120.40,Non-coding RNA sequences,
2276,10.130.120.50,Pseudogenes,
2277,10.130.130,Genome evolution,
2278,10.130.140,Genomics statistics,
2279,10.130.150,Population modeling,
2280,10.130.150.10,Infectious disease modeling,
2281,10.140,Cryobiology,
2282,10.140.10,Cold hardiness,
2284,10.140.20,Cryonics,
2285,10.140.30,Cryopreservation,
2286,10.150,Developmental biology,
2287,10.150.10,Angiogenesis,
2288,10.150.10.10,Intussusception,
2289,10.150.10.20,Vasculogenesis,
2290,10.150.20,Cell differentiation,
2291,10.150.20.10,Adipocyte differentiation,
2292,10.150.20.20,Neuronal differentiation,
2293,10.150.20.30,Osteoblast differentiation,
2294,10.150.30,Cell fate determination,
2300,10.150.50,Diapause,
2301,10.150.60,Embryogenesis,
2302,10.150.60.10,Plant embryogenesis,
2303,10.150.60.10.10,Plant embryo anatomy,
2304,10.150.60.10.10.10,Antipodals,
2305,10.150.60.10.10.20,Central cells,
2306,10.150.60.10.10.30,Cotyledons (botany),
2307,10.150.60.10.10.40,Embryo sac,
2308,10.150.60.10.10.50,Epicotyl,
2309,10.150.60.10.10.60,Hypocotyl,
2310,10.150.60.10.10.70,Radicle,
2311,10.150.60.10.10.80,Synergids,
2312,10.150.70,Embryology,
2313,10.150.70.10,Amnion,
2314,10.150.70.20,Blastocysts,
2315,10.150.70.20.10,Trophoblasts,
2317,10.150.70.40,Blastulas,
2318,10.150.70.40.10,Blastoderm,
2319,10.150.70.50,Chorion,
2320,10.150.70.60,Ectoderm,
2321,10.150.70.70,Embryo development,
2322,10.150.70.80,Embryos,
2323,10.150.70.90,Endoderm,
2324,10.150.70.100,Fetuses,
2325,10.150.70.100.10,Fetal development,
2326,10.150.70.110,Gastrulas,
2327,10.150.70.120,Limb buds,
2328,10.150.70.130,Mesoderm,
2330,10.150.70.140,Notochords,
2333,10.150.70.160,Umbilical cord,
2334,10.150.70.170,Yolk sac,
2335,10.150.80,Evolutionary developmental biology,
2336,10.150.90,Fertilization,
2337,10.150.90.10,Activation programs,
2338,10.150.90.20,Human fertilization,
2339,10.150.90.30,Insemination,
2340,10.150.90.40,In vitro fertilization,
2341,10.150.90.50,Parthenogenesis,
2342,10.150.90.60,Sperm chemotaxis,
2343,10.150.90.70,Sperm-egg interactions,
2344,10.150.90.80,Sperm hyperactivation,
2345,10.150.90.90,Syngamy,
2346,10.150.100,Fibrosis,
2347,10.150.100.10,Cystic fibrosis,
2348,10.150.100.20,Pulmonary fibrosis,
2349,10.150.110,Genomic imprinting,
2350,10.150.120,Life cycles,
2351,10.150.120.10,Diplobiontic life cycle,
2352,10.150.120.20,Diplontic life cycle,
2353,10.150.120.30,Haplontic life cycle,
2354,10.150.120.40,Parasitic life cycles,
2355,10.150.120.40.10,Cercarias,
2356,10.150.120.40.20,Parasitic cell cycles,
2357,10.150.120.40.30,Sporocysts,
2358,10.150.120.50,Protozoan life cycles,
2359,10.150.120.50.10,Amastigotes,
2360,10.150.120.50.20,Epimastigotes,
2361,10.150.120.50.30,Opisthomastigote,
2362,10.150.120.50.40,Promastigotes,
2363,10.150.120.50.50,Trypomastigotes,
2364,10.150.130,Metamorphosis,
2365,10.150.130.10,Amphibian metamorphosis,
2366,10.150.130.10.10,Tadpoles,
2367,10.150.130.20,Fish metamorphosis,
2368,10.150.130.30,Insect metamorphosis,
2369,10.150.130.30.10,Hemimetabolism,
2370,10.150.130.30.20,Holometabolism,
2371,10.150.130.30.30,Imagos,
2372,10.150.130.30.40,Pupae,
2373,10.150.130.40,Larvae,
2374,10.150.130.40.10,Caterpillars,
2375,10.150.130.50,Nymphs,
2376,10.150.130.60,Precocious metamorphosis,
2377,10.150.140,Microbial growth and development,
2378,10.150.140.10,Bacterial growth,
2379,10.150.140.20,Dictyostelium growth and development,
2380,10.150.140.20.10,Dictyostelium fruiting body,
2381,10.150.140.20.10.10,Dictyostelium spore cells,
2382,10.150.140.20.10.20,Dictyostelium stalk cells,
2383,10.150.140.20.20,Dictyostelium slug,
2384,10.150.140.30,Fungal growth,
2385,10.150.150,Molecular development,
2386,10.150.150.10,Adhesion molecules,
2387,10.150.150.10.10,Focal adhesions,
2388,10.150.150.20,Cytokines,
2389,10.150.150.20.10,Interleukins,
2390,10.150.150.30,Morphogens,
2391,10.150.160,Morphogenesis,
2392,10.150.160.10,Acinar morphogenesis,
2393,10.150.160.20,Birth defects,
2394,10.150.160.20.10,Cleft lip and palate,
2395,10.150.160.20.10.10,Cleft lip,
2396,10.150.160.20.10.20,Cleft palate,
2397,10.150.160.20.20,Congenital heart defects,
2398,10.150.160.20.20.10,Ventricular septal defects,
2399,10.150.160.20.30,Cryptorchidism,
2400,10.150.160.20.40,Hypospadias,
2401,10.150.160.20.50,Limb reduction defects,
2402,10.150.160.20.60,Neural tube defects,
2403,10.150.160.20.60.10,Spina bifida,
2404,10.150.160.20.70,Neuronal migration disorders,
2405,10.150.160.30,Body plan organization,
2406,10.150.160.40,Branching morphogenesis,
2407,10.150.160.50,Growth control,
2408,10.150.160.60,Imaginal discs,
2409,10.150.160.60.10,Genital disc,
2410,10.150.160.70,Morphogenic segmentation,
2411,10.150.160.80,Muscle differentiation,
2412,10.150.160.90,Neurodevelopment,
2413,10.150.160.100,Pattern formation,
2414,10.150.160.100.10,Embryonic pattern formation,
2415,10.150.160.100.20,Muscle pattern formation,
2417,10.150.160.120,Regeneration,
2418,10.150.160.120.10,Head regeneration,
2419,10.150.160.120.20,Heart regeneration,
2420,10.150.160.120.30,Limb regeneration,
2421,10.150.160.120.40,Muscle regeneration,
2422,10.150.160.120.50,Nerve regeneration,
2423,10.150.160.120.60,Tail regeneration,
2424,10.150.160.120.70,Tooth regeneration,
2425,10.150.160.130,Sex determination,
2426,10.150.160.140,Sexual differentiation,
2427,10.150.160.150,Tube morphogenesis,
2429,10.150.170,Neonates,
2430,10.150.180,Organism development,
2431,10.150.180.10,Aging,
2432,10.150.180.10.10,Senescence,
2433,10.150.180.20,Organogenesis,
2434,10.150.180.20.10,Adipose tissue development,
2435,10.150.180.20.20,Bone development,
2436,10.150.180.20.30,Brain development,
2437,10.150.180.20.40,Cartilage development,
2438,10.150.180.20.50,Endosperm development,
2439,10.150.180.20.60,Gallbladder development,
2440,10.150.180.20.70,Genitalia development,
2441,10.150.180.20.80,Gland development,
2442,10.150.180.20.80.10,Mammary gland development,
2443,10.150.180.20.80.20,Salivary gland development,
2444,10.150.180.20.90,Gut development,
2445,10.150.180.20.100,Heart development,
2446,10.150.180.20.110,Hematopoietic development,
2447,10.150.180.20.120,Imaginal disc development,
2448,10.150.180.20.130,Kidney development,
2449,10.150.180.20.140,Limb development,
2450,10.150.180.20.150,Liver development,
2451,10.150.180.20.160,Lung development,
2452,10.150.180.20.170,Lymphoid organ development,
2453,10.150.180.20.180,Malpighian tubule development,
2454,10.150.180.20.190,Meristem development,
2455,10.150.180.20.190.10,Root apical meristem development,
2456,10.150.180.20.190.20,Shoot apical meristem development,
2457,10.150.180.20.200,Muscle development,
2458,10.150.180.20.210,Ovary development,
2459,10.150.180.20.220,Pancreas development,
2460,10.150.180.20.230,Placenta development,
2461,10.150.180.20.240,Root development,
2462,10.150.180.20.250,Sense organ development,
2463,10.150.180.20.250.10,Ear development,
2464,10.150.180.20.250.20,Eye development,
2465,10.150.180.20.260,Skin development,
2466,10.150.180.20.270,Somites,
2467,10.150.180.20.280,Spleen development,
2468,10.150.180.20.290,Spore-bearing organ development,
2469,10.150.180.20.300,Testes development,
2470,10.150.180.20.310,Uterus development,
2479,10.150.180.40,Teratology,
2480,10.150.180.50,Tropism,
2481,10.150.180.50.10,Gravitropism,
2482,10.150.180.50.20,Phototropism,
2483,10.150.190,Plant growth and development,
2484,10.150.190.10,Plant development,
2486,10.150.190.10.20,Floral development,
2487,10.150.190.10.30,Leaf development,
2502,10.150.190.20,Plant tropisms,
2505,10.150.190.30,Root growth,
2506,10.150.190.40,Shoot growth,
2507,10.160,Ecology,
2515,10.160.20,Behavioral ecology,
2516,10.160.30,Biodiversity,
2517,10.160.40,Biota,
2518,10.160.50,Chemical ecology,
2519,10.160.60,Coastal ecology,
2520,10.160.70,Community ecology,
2521,10.160.70.10,Community assembly,
2522,10.160.70.20,Community structure,
2523,10.160.70.30,Ecological remediation,
2524,10.160.70.40,Ecological risk,
2525,10.160.70.50,Energy flow,
2526,10.160.70.60,Food web structure,
2527,10.160.70.70,Niche construction,
2528,10.160.70.80,Trophic interactions,
2529,10.160.70.80.10,Carnivory,
2530,10.160.70.80.20,Herbivory,
2531,10.160.70.80.30,Parasitism,
2532,10.160.70.80.40,Predation,
2533,10.160.80,Ecological economics,
2534,10.160.90,Ecological metrics,
2535,10.160.90.10,Biomass (ecology),
2536,10.160.90.20,Carrying capacity,
2537,10.160.90.30,Ecological yield,
2538,10.160.90.40,Extinction risk,
2539,10.160.90.50,Maximum sustainable yield,
2540,10.160.90.60,Minimum viable population,
2541,10.160.90.70,Optimum sustainable yield,
2542,10.160.90.80,Photosynthetic efficiency,
2543,10.160.90.90,Population growth,
2544,10.160.90.100,Population size,
2545,10.160.90.100.10,Effective population size,
2546,10.160.90.110,Productivity (ecology),
2547,10.160.90.120,Q10 temperature coefficient,
2548,10.160.90.130,Relative abundance distribution,
2549,10.160.90.140,Species diversity,
2550,10.160.90.140.10,Shannon index,
2551,10.160.90.140.20,Simpson index,
2552,10.160.100,Ecological niches,
2553,10.160.110,Ecophysiology,
2554,10.160.120,Ecosystems,
2555,10.160.120.10,Artificial ecosystems,
2556,10.160.120.20,Coastal ecosystems,
2557,10.160.120.30,Deserts,
2558,10.160.120.40,Ecosystem engineering,
2559,10.160.120.50,Ecosystem functioning,
2561,10.160.120.70,Forests,
2562,10.160.120.80,Jungles,
2563,10.160.120.90,Marine ecosystems,
2564,10.160.120.100,Microbial ecosystems,
2565,10.160.120.110,Rainforests,
2566,10.160.120.120,Reef ecosystems,
2567,10.160.120.130,Tropical ecosystems,
2568,10.160.120.140,Urban ecosystems,
2569,10.160.120.150,Wetland ecosystems,
2570,10.160.120.150.10,Delta ecosystems,
2571,10.160.130,Evolutionary ecology,
2572,10.160.140,Food chains,
2573,10.160.150,Forest ecology,
2574,10.160.160,Freshwater ecology,
2575,10.160.160.10,Limnetic ecosystems,
2576,10.160.170,Global change ecology,
2577,10.160.180,Industrial ecology,
2578,10.160.190,Macroecology,
2579,10.160.200,Marine ecology,
2580,10.160.210,Microbial ecology,
2581,10.160.210.10,Biofilms,
2582,10.160.210.10.10,Bacterial biofilms,
2583,10.160.210.20,Microbiome,
2584,10.160.210.30,Quorum sensing,
2585,10.160.220,Paleoecology,
2586,10.160.220.10,Dendrochronology,
2587,10.160.230,Plant ecology,
2588,10.160.230.10,Plant-animal interactions,
2590,10.160.230.10.20,Plant-herbivore interactions,
2591,10.160.230.10.30,Plant-insect interactions,
2592,10.160.230.20,Plant communities,
2593,10.160.230.20.10,Grasslands,
2594,10.160.230.30,Plant-environment interactions,
2595,10.160.230.30.20,Rhizosphere,
2596,10.160.230.40,Plant-microbial interactions,
2597,10.160.240,Population ecology,
2598,10.160.250,Restoration ecology,
2599,10.160.260,Spatial and landscape ecology,
2600,10.160.270,Systems ecology,
2601,10.160.280,Terrestrial ecology,
2602,10.160.290,Theoretical ecology,
2603,10.160.300,Urban ecology,
2604,10.170,Evolutionary biology,
2607,10.170.30,Evolutionary genetics,
2608,10.170.40,Evolutionary immunology,
2609,10.170.50,Evolutionary physiology,
2610,10.170.60,Evolutionary processes,
2611,10.170.60.10,Artificial selection,
2612,10.170.60.20,Coevolution,
2613,10.170.60.30,Concerted evolution,
2614,10.170.60.40,Convergent evolution,
2616,10.170.60.60,Divergent evolution,
2617,10.170.60.70,Evolutionary adaptation,
2618,10.170.60.80,Evolutionary emergence,
2619,10.170.60.90,Genetic drift,
2620,10.170.60.100,Horizontal gene transfer,
2621,10.170.60.110,Hybridization,
2622,10.170.60.120,Introgression,
2623,10.170.60.130,Kin selection,
2624,10.170.60.140,Macroevolution,
2625,10.170.60.150,Microevolution,
2626,10.170.60.160,Natural selection,
2627,10.170.60.160.10,Directional selection,
2628,10.170.60.160.20,Ecological selection,
2629,10.170.60.160.30,Reproductive success,
2630,10.170.60.160.40,Sexual selection,
2631,10.170.60.160.50,Signatures of natural selection,
2632,10.170.60.160.60,Survival of the fittest,
2633,10.170.60.170,Parallel evolution,
2634,10.170.60.180,Phenetic evolution,
2635,10.170.60.190,Sexual conflict,
2636,10.170.60.200,Speciation,
2637,10.170.60.200.10,Allopatric speciation,
2638,10.170.60.200.20,Artificial speciation,
2639,10.170.60.200.30,Human speciation,
2640,10.170.60.200.40,Hybrid speciation,
2641,10.170.60.200.50,Natural speciation,
2642,10.170.60.200.60,Parapatric speciation,
2643,10.170.60.200.70,Peripatric speciation,
2644,10.170.60.200.80,Species delimitation,
2645,10.170.60.200.90,Sympatric speciation,
2646,10.170.60.210,Species extinction,
2647,10.170.70,Evolutionary systematics,
2648,10.170.70.10,Cladistics,
2649,10.170.70.20,Molecular systematics,
2650,10.170.70.20.10,DNA barcoding,
2651,10.170.70.30,Phyletic patterns,
2652,10.170.70.40,Phylogenetics,
2653,10.170.70.40.10,Animal phylogenetics,
2654,10.170.70.40.20,Plant phylogenetics,
2655,10.170.80,Evolutionary theory,
2656,10.170.90,Molecular evolution,
2657,10.170.90.10,Gene duplication,
2659,10.170.100,Organismal evolution,
2660,10.170.100.10,Animal evolution,
2661,10.170.100.20,Eukaryotic evolution,
2662,10.170.100.30,Human evolution,
2663,10.170.100.40,Microbial evolution,
2664,10.170.100.40.10,Bacterial evolution,
2665,10.170.100.40.20,Viral evolution,
2666,10.170.100.50,Plant evolution,
2668,10.170.110,Origin of life,
2669,10.170.120,Population genetics,
2671,10.170.120.20,Gene flow,
2672,10.170.120.30,Gene pool,
2674,10.170.120.50,Genetic polymorphism,
2675,10.170.120.60,Haplogroups,
2676,10.170.120.70,Haplotypes,
2684,10.170.120.90,Neutral theory,
2686,10.170.120.110,Ploidy,
2687,10.180,Genetics,
2688,10.180.10,Animal genetics,
2689,10.180.10.10,Amphibian genetics,
2690,10.180.10.20,Bird genetics,
2691,10.180.10.30,Invertebrate genetics,
2692,10.180.10.40,Mammalian genetics,
2693,10.180.10.50,Reptile genetics,
2694,10.180.20,Cancer genetics,
2695,10.180.20.10,Oncogenes,
2696,10.180.20.20,Proto-oncogenes,
2697,10.180.30,Conservation genetics,
2698,10.180.40,Cytogenetics,
2699,10.180.40.10,Cytogenetic analysis,
2700,10.180.40.20,Karyotypes,
2701,10.180.50,Departures from diploidy,
2702,10.180.50.10,Aneuploidy,
2703,10.180.50.10.10,Monosomics,
2704,10.180.50.10.20,Trisomics,
2705,10.180.50.20,Polyploidy,
2706,10.180.50.20.10,Hexaploidy,
2707,10.180.50.20.20,Tetraploidy,
2708,10.180.50.20.30,Triploidy,
2759,10.180.70,Epigenetics,
2767,10.180.70.40,Histone modification,
2769,10.180.70.50,RNA interference,
2770,10.180.70.50.10,Morpholino,
2771,10.180.70.50.20,Plant-mediated RNA interference,
2772,10.180.70.50.30,Recursive RNA interference,
2773,10.180.70.50.40,RNA interference screens,
2774,10.180.70.60,X chromosome inactivation,
2775,10.180.80,Exon shuffling,
2776,10.180.90,Fungal genetics,
2777,10.180.90.10,Fungal genomics,
2778,10.180.90.10.10,Fungal genomes,
2779,10.180.100,Gene amplification,
2781,10.180.100.20,RNA amplification,
2782,10.180.110,Gene disruption,
2783,10.180.120,Gene expression,
2790,10.180.120.30,DNA transcription,
2791,10.180.120.40,Gene regulation,
2792,10.180.120.40.10,Dosage compensation,
2795,10.180.120.40.30,Enhancer elements,
2796,10.180.120.40.40,Gene silencing,
2798,10.180.120.40.80,Regulons,
2799,10.180.120.40.90,Silencer elements,
2805,10.180.120.60,Protein translation,
2806,10.180.120.60.10,Translation initiation,
2807,10.180.120.60.20,Translation termination,
2808,10.180.120.70,Reverse transcription,
2818,10.180.120.120,Transactivation,
2820,10.180.120.40.130,Transcriptional termination,
2821,10.180.130,Gene function,
2822,10.180.140,Gene fusion,
2823,10.180.150,Gene identification and analysis,
2824,10.180.150.10,Genetic complementation,
2825,10.180.150.20,Genetic interactions,
2826,10.180.150.30,Genetic screens,
2827,10.180.150.40,Mutation detection,
2828,10.180.120.40.50,Locus control region,
2830,10.180.170,Genetic dominance,
2831,60.40.10,Autosomal dominant diseases,
2832,60.40.10.10,Familial hypercholesterolemia,
2833,60.40.10.20,Hereditary nonpolyposis colorectal cancer,
2834,60.40.10.30,Huntington disease,
2835,60.40.10.40,Marfan syndrome,
2836,60.40.10.50,Neurofibromatosis type 1,
2837,60.40.10.60,Neurofibromatosis type 2,
2838,60.40.10.70,Polycystic kidney disease,
2839,60.40.10.80,Weill-Marchesani syndrome,
2840,10.180.170.10.10,Autosomal dominant traits,
2841,60.40.20,Autosomal recessive diseases,
2842,60.40.20.10,Alpha-thalassemia,
2843,10.190.60.60.20,Autoimmune polyendocrine syndrome type 1,
2844,60.40.20.30,Beta-thalassemia,
2845,60.40.20.40,Cockayne syndrome,
2846,60.40.20.50,Congenital adrenal hyperplasia,
2848,60.40.20.70,Galactosemia,
2849,60.40.20.80,Gaucher's disease,
2850,60.40.20.90,Glycogen storage diseases,
2851,60.40.20.100,Mucopolysaccharidoses,
2852,60.40.20.110,Niemann-Pick disease,
2853,60.40.20.120,Phenylketonuria,
2854,60.40.20.130,Roberts syndrome,
2855,60.40.20.140,Sickle cell disease,
2856,60.40.20.150,Spinal muscular atrophy,
2857,60.40.20.160,Tay-Sachs disease,
2858,60.40.20.170,Thalassemia,
2860,60.40.20.190,Wilson's disease,
2861,60.40.20.200,Wiskott-Aldrich syndrome,
2862,60.40.20.210,Xeroderma pigmentosum,
2863,10.180.170.20.10,Autosomal recessive traits,
2864,10.180.180,Genetic elements,
2865,10.180.180.10,Mobile genetic elements,
2867,10.180.180.10.20,Transposable elements,
2868,10.180.180.10.20.10,DNA transposons,
2869,10.180.180.10.20.20,Gene transposition,
2870,10.180.180.10.20.30,Helitrons,
2871,10.180.180.10.20.40,Retrotransposons,
2872,10.180.190,Genetic interference,
2873,10.180.190.10,Crossover interference,
2879,10.180.200,Genetic loci,
2880,10.180.200.10,Alleles,
2881,10.180.200.20,Quantitative trait loci,
2882,10.180.210,Genetic oscillators,
2883,10.180.220,Genetics of disease,
2884,10.180.220.10,Genetic disorders,
2885,10.180.220.20,Genetic predisposition,
2886,10.180.230,Gene transfer,
2888,10.180.230.20,Vertical gene transfer,
2889,10.180.240,Gene types,
2890,10.180.240.10,APC genes,
2891,10.180.240.20,Chimeric genes,
2892,10.180.240.30,Env genes,
2893,10.180.240.40,Fusion genes,
2894,10.180.240.50,Immediate early genes,
2895,10.180.240.60,Immunoglobulin genes,
2896,10.180.240.70,Linked genes,
2897,10.180.240.80,MHC class I genes,
2898,10.180.240.90,Microsatellite loci,
2899,10.180.240.100,Mutant genes,
2900,10.180.240.110,Regulator genes,
2901,10.180.240.120,Reporter genes,
2902,10.180.240.130,Structural genes,
2903,10.180.240.140,Suppressor genes,
2904,10.180.240.140.10,Tumor suppressor genes,
2905,10.180.250,Genomics,
2906,10.180.250.10,Animal genomics,
2907,10.180.250.10.10,Amphibian genomics,
2908,10.180.250.10.20,Bird genomics,
2909,10.180.250.10.30,Fish genomics,
2910,10.180.250.10.40,Invertebrate genomics,
2911,10.180.250.10.50,Mammalian genomics,
2912,10.180.250.10.60,Reptile genomics,
2915,10.180.250.40,Extinct genomes,
2916,10.180.250.50,Functional genomics,
2951,10.180.250.100,Genomic medicine,
2952,10.180.250.100.10,Genetic counseling,
2953,10.180.250.100.20,Genetic testing,
2954,10.180.250.100.20.10,Prenatal diagnosis,
2955,10.180.250.100.20.10.10,Amniocentesis,
2956,10.180.250.100.20.10.20,Chorionic villus sampling,
2959,10.180.250.120,Human genomics,
2960,10.180.250.130,Metagenomics,
2961,10.180.250.140,Microbial genomics,
2962,10.180.250.140.10,Bacterial genomics,
2963,10.180.250.140.10.10,Bacterial genomes,
2965,10.180.250.140.30,Viral genomics,
2966,10.180.250.140.30.10,Viral genome,
2974,10.180.250.160,Physiogenomics,
2977,10.180.250.180,Repeated sequences,
2978,10.180.250.180.10,Alu elements,
2979,10.180.250.180.20,CRISPRs,
2980,10.180.250.180.30,Interspersed repeats,
2981,10.180.250.180.40,Tandem repeats,
2982,10.180.250.190,Structural genomics,
2983,10.180.260,Heredity,
2984,10.180.260.10,Chromosomal inheritance,
2985,10.180.260.20,Complex traits,
2986,10.180.260.30,Epistasis,
2987,10.180.260.30.10,Fitness epistasis,
2988,10.180.260.30.20,Sign epistasis,
2989,10.180.260.30.20.10,Pervasive sign epistasis,
2990,10.180.260.30.20.20,Reciprocal sign epistasis,
2992,10.180.260.50,Genetic determinism,
2993,10.180.260.60,Genetic linkage,
2994,10.180.260.60.10,Autosomal linkage,
2995,10.180.260.60.20,Sex linkage,
2996,10.180.260.60.20.10,X-linked traits,
2997,10.180.260.60.20.10.10,Duchenne muscular dystrophy,
2998,10.180.260.60.20.10.20,Hemophilia,
2999,10.180.260.60.20.10.30,Lesch-Nyhan syndrome,
3000,10.180.260.60.20.10.40,Rett syndrome,
3001,10.180.260.60.20.20,Y-linked traits,
3002,10.180.260.70,Genetic load,
3003,10.180.260.80,Genetic mapping,
3004,10.180.260.80.10,Linkage analysis,
3005,10.180.260.80.20,Mutant genotypes,
3006,10.180.260.80.30,Variant genotypes,
3007,10.180.260.90,Genetic suppression,
3008,10.180.260.100,Haploinsufficiency,
3009,10.180.260.110,Heterosis,
3010,10.180.260.120,Heterozygosity,
3011,10.180.260.130,Homozygosity,
3012,10.180.260.140,Hybrids (biology),
3013,10.180.260.150,Inbreeding,
3014,10.180.260.160,Linkage disequilibrium,
3015,10.180.260.170,Quantitative traits,
3016,10.180.270,Histocompatibility,
3017,10.180.280,Human genetics,
3018,10.180.280.10,Genetic association studies,
3028,10.180.280.50,Twins,
3029,10.180.280.50.10,Dizygotic twins,
3030,10.180.280.50.20,Monozygotic twins,
3031,10.180.290,Microbial genetics,
3032,10.180.300,Mitochondrial genetics,
3033,10.180.310,Molecular genetics,
3034,10.180.320,Mutagenesis,
3035,10.180.320.10,Mutagens,
3036,10.180.330,Mutation,
3037,10.180.330.10,Frameshift mutation,
3038,10.180.330.20,Gene deletion,
3039,10.180.330.30,Germline mutation,
3040,10.180.330.40,Insertion mutation,
3041,10.180.330.50,Missense mutation,
3042,10.180.330.60,Mutant strains,
3043,10.180.330.70,Mutational hypotheses,
3044,10.180.330.80,Mutation databases,
3045,10.180.330.90,Nonsense mutation,
3046,10.180.330.100,Point mutation,
3047,10.180.330.110,Reverse mutation,
3048,10.180.330.120,Silent mutation,
3049,10.180.330.130,Somatic mutation,
3050,10.180.330.140,Substitution mutation,
3051,10.180.330.150,Trinucleotide repeats,
3052,10.180.340,Phenotypes,
3053,10.180.340.10,Albinism,
3054,10.180.340.20,Melanism,
3056,10.180.350,Plant genetics,
3057,10.180.350.10,Crop genetics,
3079,10.190,Immunology,
3080,10.190.10,Anergy,
3081,10.190.20,Antigen processing and recognition,
3082,10.190.30,Autoimmunity,
3083,10.190.40,Classical immunology,
3084,10.190.50,Class switching,
3085,10.190.60,Clinical immunology,
3086,10.190.60.10,Adoptive transfer,
3087,10.190.60.20,Allergic diseases,
3088,10.190.60.20.10,Mastocytosis,
3089,10.190.60.20.10.10,Cutaneous mastocytosis,
3090,10.190.60.20.10.20,Systemic mastocytosis,
3091,10.190.60.30,Allergies,
3092,10.190.60.30.10,Allergens,
3093,10.190.60.30.20,Food allergies,
3094,10.190.60.40,Anaphylaxis,
3095,10.190.60.50,Antibody therapy,
3096,10.190.60.60,Autoimmune diseases,
3097,10.190.60.60.10,Ankylosing spondylitis,
3099,10.190.60.60.30,Crohn's disease,
3100,10.190.60.60.40,Goodpasture's syndrome,
3101,10.190.60.60.50,Graves' disease,
3102,10.190.60.60.60,Hashimoto's disease,
3103,10.190.60.60.70,Idiopathic thrombocytopenic purpura,
3104,10.190.60.60.80,Kawasaki disease,
3105,10.190.60.60.90,Lupus erythematosus,
3106,10.190.60.60.90.10,Discoid lupus erythematosus,
3107,10.190.60.60.90.20,Systemic lupus erythematosus,
3108,10.190.60.60.100,Lupus nephritis,
3109,10.190.60.60.110,Mixed connective tissue disease,
3110,10.190.60.60.120,Multiple sclerosis,
3111,10.190.60.60.130,Myasthenia gravis,
3112,10.190.60.60.140,Myositis,
3113,10.190.60.60.140.10,Dermatomyositis,
3114,10.190.60.60.140.20,Inclusion body myositis,
3115,10.190.60.60.140.30,Polymyositis,
3116,10.190.60.60.150,Neuromyotonia,
3117,10.190.60.60.160,Pemphigus vulgaris,
3118,10.190.60.60.170,Pernicious anemia,
3119,10.190.60.60.180,Primary biliary cirrhosis,
3120,10.190.60.60.190,Psoriasis,
3121,10.190.60.60.200,Rheumatoid arthritis,
3122,10.190.60.60.200.10,Felty syndrome,
3123,10.190.60.60.200.20,Juvenile idiopathic arthritis,
3124,10.190.60.60.210,Scleroderma,
3125,10.190.60.60.220,Sjogren syndrome,
3126,10.190.60.60.230,Temporal arteritis,
3127,10.190.60.60.240,Vasculitis,
3128,10.190.60.60.250,Vitiligo,
3129,10.190.60.60.260,Wegener granulomatosis,
3130,10.190.60.70,Disease susceptibility,
3131,10.190.60.80,Genetics of the immune system,
3132,10.190.60.90,HIV immunopathogenesis,
3133,10.190.60.100,Hypersensitivity,
3134,10.190.60.110,Immune deficiency,
3135,10.190.60.120,Immunomodulatory treatments,
3136,10.190.60.130,Immunopathology,
3137,10.190.60.140,Immunotherapy,
3138,10.190.60.140.10,Allergy immunotherapy,
3139,10.190.60.140.20,Cancer immunotherapy,
3140,10.190.60.140.30,Helminthic therapy,
3141,10.190.60.150,Infectious disease immunology,
