code,subject_area
10.190.210.40,Antiviral therapy
10.190.210.50,DNA vaccination
10.190.210.60,Immunologic adjuvants
10.190.210.70,Inoculation
10.190.210.70.10,Intranasal inoculation
10.190.210.80,Nucleic acid immunization
10.190.210.90,Oral rabies vaccination
10.190.210.100,Passive immunization
10.190.210.110,Prophylaxis
10.190.210.110.10,Antibiotic prophylaxis
10.190.210.110.20,Post-exposure prophylaxis
10.190.210.110.30,Pre-exposure prophylaxis
10.190.210.120,Vaccine development
10.190.210.130,Vaccines
10.190.210.130.10,Attenuated vaccines
10.190.210.130.20,Booster doses
10.190.210.130.30,Cancer vaccines
10.190.210.130.40,Cholera vaccines
10.190.210.130.50,Conjugate vaccines
10.190.210.130.60,Recombinant vaccines
60.180,Infectious diseases
60.180.10,Bacterial diseases
60.180.10.10,Acinetobacter infections
60.180.10.20,Actinomycosis
60.180.10.30,Annual ryegrass toxicity
10.410.30.70.10,Anthrax
60.180.10.50,Arcanobacterium haemolyticum infection
60.180.10.60,Bacillus cereus infection
60.180.10.70,Bacteremia
60.130.140.10,Bacterial gastroenteritis
60.130.140.10.10,Shigellosis
60.180.10.90,Bacterial meningitis
60.180.10.90.10,Haemophilus meningitis
60.180.10.100,Bacterial pneumonia
60.180.10.110,Bacteroides infection
60.180.10.120,Bartonellosis
60.180.10.130,Borrelia infection
60.180.10.130.10,Lyme disease
60.180.10.140,Botryomycosis
60.180.10.150,Botulism
60.180.10.160,Brazilian purpuric fever
60.180.10.170,Brodie abscess
10.410.30.70.60,Brucellosis
10.410.30.70.60.10,Swine brucellosis
60.180.10.190,Burkholderia infection
60.180.10.200,Buruli ulcer
60.180.10.210,Campylobacteriosis
60.180.10.220,Caries
60.180.10.230,Carrion's disease
10.410.30.70.70,Cat scratch disease
60.180.10.250,Cellulitis
60.180.10.250.10,Orbital cellulitis
60.180.10.250.20,Periorbital cellulitis
60.180.10.260,Cholera
60.180.10.270,Chronic bacterial prostatitis
60.180.10.280,Clostridial myonecrosis
60.180.10.290,Combined periodontal-endodontic abscesses
60.180.10.290.10,Endo-perio abscesses
60.180.10.290.20,Perio-endo abscesses
60.180.10.300,Contagious bovine pleuropneumonia
60.180.10.310,Deer fly fever
60.180.10.320,Diphtheria
60.180.10.320.10,Diphtheritic stomatitis
60.180.10.330,Donovanosis
60.180.10.340,Ehrlichiosis
10.410.30.70.90,Ehrlichiosis (canine)
60.180.10.340.20,Human ewingii ehrlichiosis
60.180.10.340.30,Human monocytic ehrlichiosis
60.180.10.340.40,Human monocytotropic ehrlichiosis
60.180.10.350,El Tor
60.180.10.360,Enterobacter infections
60.180.10.370,Enterococcus infections
60.180.10.380,Epiglottitis
60.180.10.390,Erysipelas
60.180.10.400,Escherichia coli infections
60.180.10.400.10,Enterohaemorrhagic Escherichia coli
60.180.10.410,External otitis
60.180.10.410.10,Malignant external otitis
60.180.10.420,Fitz-Hugh-Curtis syndrome
60.180.10.430,Fusobacterium infections
60.180.10.440,Garre's sclerosing osteomyelitis
60.180.10.450,Ghon's complex
60.180.10.460,Gingival abscesses
60.180.10.470,Glanders
60.180.10.480,Granuloma inguinale
60.180.10.490,Group A streptococcal infection
60.180.10.500,Group B streptococcal infection
60.180.10.510,Helicobacter pylori infection
60.180.10.520,Hemolytic-uremic syndrome
60.180.10.530,Hot-tub folliculitis
60.180.10.540,Human granulocytic anaplasmosis
60.90.210.10,Impetigo
60.180.10.560,Kingella kingae infection
60.180.10.570,Klebsiella infections
60.180.10.570.10,Klebsiella pneumonia
60.180.10.580,Lady Windermere syndrome
60.180.10.590,Legionellosis
60.180.10.600,Lemierre's syndrome
60.180.10.610,Leprosy
10.410.30.70.150,Leptospirosis
60.180.10.630,Listeriosis
60.180.10.640,Lockjaw
60.180.10.650,Ludwig's angina
60.180.10.660,Melioidosis
60.180.10.670,Meningoccal septicemia
60.180.10.680,Meningococcal disease
60.180.10.690,Mycoplasma pneumonia
60.180.10.700,Necrotizing fasciitis
60.180.10.710,Nightcliff gardener's disease
60.180.10.720,Nocardiosis
60.180.10.730,Omphalitis
60.180.10.740,Osteomyelitis
60.180.10.740.10,Chronic recurrent multifocal osteomyelitis
60.180.10.750,Overwhelming post-splenectomy infections
60.180.10.760,Panton-Valentine leukocidin
60.180.10.770,Parrot disease
60.180.10.780,Pasteurellosis
60.180.10.790,Pericoronal abscesses
60.180.10.800,Periodontal abscesses
60.180.10.810,Peritonsillar abscesses
60.180.10.820,Pertussis
60.180.10.830,Pharyngitis
60.180.10.830.10,Streptococcal pharyngitis
60.180.10.840,Phenol-soluble modulin
60.180.10.850,Phthisis
60.180.10.860,Plagues
60.180.10.860.10,Black death
60.180.10.860.20,Bubonic plague
60.180.10.860.30,Pneumonic plagues
60.180.10.860.40,Septicemic plagues
60.180.10.860.50,White plague
60.180.10.870,Pontiac fever
60.180.10.880,Pott's disease
60.180.10.890,Prevotella infection
60.180.10.900,Proctitis
60.180.10.910,Proteus OX19
60.180.10.920,Pseudomonas infections
60.180.10.930,Psittacosis
60.180.10.940,Pyemia
60.180.10.950,Pyomyositis
60.180.10.960,Q fever
60.180.10.970,Rabbit fever
60.180.10.980,Rat bite fever
60.180.10.990,Relapsing fever
60.180.10.1000,Rickettsialpox
60.180.10.1010,Rocky Mountain spotted fever
10.210.50.10.10.530,Salmonella
10.210.50.10.10.530.10,Salmonella bongori
10.210.50.10.10.530.20,Salmonella enterica
10.210.50.10.10.530.30,Salmonella typhi
10.210.50.10.10.530.40,Salmonella typhimurium
60.180.10.1030,Salmonellosis
60.180.10.1040,Scarlet fever
60.180.10.1050,Scrofula
60.180.10.1060,Serratia infections
60.180.10.1070,Sodoku
60.180.10.1080,Southern tick-associated rash illness
60.180.10.1090,Spondylitis
60.180.10.1100,Staphylococcal infection
60.180.10.1100.10,Staphylococcal food poisoning
60.180.10.1100.20,Staphylococcal scalded skin syndrome
60.180.10.1110,Streptococcal infections
60.180.10.830.10,Streptococcal pharyngitis
60.180.10.1120,Syphilitic aortitis
60.180.10.1130,Tetanus
60.180.10.1140,Toxic shock syndrome
60.180.10.1150,Trachoma
60.180.10.1160,Trench fever
60.180.10.1170,Treponematoses
60.180.10.1170.10,Bejel
60.180.10.1170.20,Pinta
60.180.10.1170.30,Syphilis
60.180.10.1170.30.10,Congenital syphilis
60.180.10.1170.40,Yaws
60.180.10.1180,Tropical ulcer
60.180.10.1190,Tuberculosis
60.180.10.1190.10,Bovine tuberculosis in humans
60.180.10.1190.20,Extensively drug-resistant tuberculosis
60.180.10.1190.30,History of tuberculosis
60.180.10.1190.40,Miliary tuberculosis
60.180.10.1190.50,Multi-drug-resistant tuberculosis
60.180.10.1200,Typhoid
60.180.10.1210,Typhus
60.180.10.1210.10,Endemic typhus
60.180.10.1210.20,Epidemic typhus
60.180.10.1210.30,Murine typhus
60.180.10.1210.40,Scrub typhus
60.180.10.1220,Ureaplasma urealyticum infections
60.180.10.1230,Waterhouse-Friderichsen syndrome
60.180.10.1240,Whitmore's disease
60.180.10.1250,Yersinia pseudotuberculosis infection
60.180.10.1260,Yersiniosis
60.180.20,Emerging infectious diseases
60.180.30,Foodborne diseases
60.180.40,Fungal diseases
60.180.40.10,Aspergillosis
60.180.40.20,Black piedra
60.180.40.30,Blastomycosis
60.180.40.40,Chromoblastomycosis
60.180.40.50,Chromomycosis
60.180.40.60,Cladosporiosis
60.180.40.70,Coccidioidomycosis
60.180.40.80,Cryptococcosis
60.180.40.90,Cutaneous mycoses
60.180.40.100,Dermatophytosis
60.180.40.110,Fonseca's disease
60.180.40.120,Geotrichosis
60.180.40.130,Histoplasmosis
60.180.40.140,Microsporidiosis
60.180.40.150,Mycetoma
60.180.40.160,Paracoccidioidomycosis
60.180.40.170,Pedroso's disease
60.180.40.180,Phaeosporotrichosis
60.180.40.190,Pneumocystis
60.180.40.200,Rhinosporidiosis
60.180.40.210,Sporotrichosis
60.180.40.220,Subcutaneous mycoses
60.180.40.230,Systemic mycoses
60.180.40.240,Tinea
60.180.40.240.10,Tinea blanca
60.180.40.240.20,Tinea incognita
60.180.40.240.30,Tinea versicolor
60.180.40.250,Verrucous dermatitis
60.180.40.260,White piedra
60.180.40.270,Yeast infections
60.180.40.280,Zygomycosis
60.180.50,Healthcare-associated infections
60.180.50.10,Nosocomial infections
60.180.60,Infectious disease control
60.180.60.10,Copper-silver ionization
60.180.60.20,Disease eradication
10.310.190.10.10,Infectious disease surveillance
60.180.60.40,Nocosomial disease
10.130.150.10,Infectious disease modeling
60.180.80,Infectious diseases of the nervous system
60.180.80.10,Cryptococcal meningitis
60.180.80.20,Encephalitis
60.180.80.20.10,Japanese encephalitis
60.180.80.20.20,Tick-borne encephalitis
60.180.80.30,Encephalomyelitis
60.180.80.40,Intracranial abscesses
60.180.80.50,Intraspinal abscesses
60.180.80.60,Meningitis
60.180.10.90,Bacterial meningitis
60.180.10.90.10,Haemophilus meningitis
60.180.80.70,Meningoencephalitis
60.180.80.80,Myelitis
60.180.80.90,Postinfectious encephalitis
60.180.90,Opportunistic infections
10.410.30.70.230,Prion diseases
10.410.30.70.230.10,Creutzfeldt-Jakob disease
10.410.30.70.230.20,Fatal familial insomnia
10.410.30.70.230.30,Gerstmann-Straussler-Scheinker disease
10.410.30.70.230.40,Kuru
10.410.30.50,Veterinary prion diseases
10.410.30.50.10,Bovine spongiform encephalopathy
10.410.30.50.20,Scrapie
60.180.110,Sexually transmitted diseases
60.180.110.10,Bacterial vaginosis
60.180.110.20,Candidiasis
60.180.110.30,Chancroid
60.180.110.40,Chlamydia infection
60.180.110.50,Condyloma acuminata
60.180.110.60,Gonorrhea
60.180.110.70,Herpes simplex
60.180.110.80,Human papillomavirus infection
60.180.110.90,Molluscum contagiosum
60.180.110.100,Scabies
60.180.10.1170.30,Syphilis
60.180.10.1170.30.10,Congenital syphilis
60.180.110.120,Trichomoniasis
60.90.210,Skin infections
60.90.210.10,Impetigo
60.180.130,Soft tissue infections
60.180.140,Superinfection
60.180.150,Travel-associated diseases
60.180.160,Vector-borne diseases
60.180.170,Viral diseases
60.180.170.10,AIDS
60.180.170.20,Arboviral infections
60.180.170.20.10,Arboviral encephalitis
60.180.170.30,Argentine hemorrhagic fever
60.180.170.40,Astrovirus infection
60.180.170.50,Bk virus infection
10.410.30.70.20,Bolivian hemorrhagic fever
60.180.170.70,Brazilian hemorrhagic fever
60.180.170.80,Calicivirus infection
60.180.170.90,Chickenpox
60.180.170.100,Chikungunya infection
60.180.170.110,Colorado tick fever
60.180.170.120,Common cold
60.180.170.130,Crimean-Congo hemorrhagic fever
60.180.170.140,Cytomegalovirus infection
60.180.170.150,Dengue fever
60.180.170.160,Ebola hemorrhagic fever
60.180.170.170,Encephalitis lethargica
60.180.170.180,Enterovirus infection
60.180.170.190,Epstein-Barr virus infectious mononucleosis
60.180.170.200,Erythema infectiosum
60.180.170.210,Exanthem subitum
60.180.170.220,"Hand, foot and mouth disease"
60.180.170.230,Hantavirus pulmonary syndrome
60.180.170.240,Hemorrhagic fever with renal syndrome
60.180.170.250,Hepatitis
60.130.210.90.10,Hepatitis A
60.130.210.90.20,Hepatitis B
60.130.210.90.30,Hepatitis C
60.180.170.250.40,Hepatitis delta
60.180.170.250.50,Hepatitis E
60.180.110.70,Herpes simplex
60.180.170.270,HIV infections
60.180.170.280,Human bocavirus infection
60.180.170.290,Human metapneumovirus infection
60.180.110.80,Human papillomavirus infection
60.180.170.310,Human parainfluenza virus infection
60.180.170.320,Influenza
60.180.170.320.10,H1N1
60.180.170.320.20,H5N1
60.180.80.20.10,Japanese encephalitis
60.180.170.340,Jungle yellow fever
60.180.170.350,Lassa fever
60.180.170.360,Lymphocytic choriomeningitis
60.180.170.370,Marburg hemorrhagic fever
60.180.170.380,Measles
60.180.170.390,Mumps
60.180.170.400,Poliomyelitis
60.180.170.410,Progressive multifocal leukoencephalopathy
10.410.30.70.240,Rabies
60.180.170.430,Respiratory syncytial virus infection
60.180.170.440,Rhinovirus infection
10.410.30.70.250,Rift Valley fever
60.180.170.460,Rotavirus infection
60.180.170.470,Rubella
60.180.170.480,SARS
60.180.170.490,Shingles
60.180.170.500,Smallpox
60.180.170.500.10,Hemorrhagic smallpox
60.180.170.500.20,Malignant smallpox
60.180.170.500.30,Modified smallpox
60.180.170.500.40,Ordinary smallpox
60.180.170.510,Venezuelan equine encephalitis
60.180.170.520,Venezuelan hemorrhagic fever
60.180.170.530,Viral hemorrhagic fevers
60.180.170.540,Viral pneumonia
60.180.170.550,Viral upper respiratory tract infection
60.180.170.560,Viremia
60.180.170.570,West Nile Fever
60.180.170.580,Yellow fever
10.410.30.70,Zoonoses
10.410.30.70.10,Anthrax
10.410.30.70.20,Bolivian hemorrhagic fever
10.410.30.70.30,Borna virus infection
10.410.30.50.10,Bovine spongiform encephalopathy
10.410.30.70.50,Bovine tuberculosis
10.410.30.70.60,Brucellosis
10.410.30.70.60.10,Swine brucellosis
10.410.30.70.70,Cat scratch disease
10.410.30.70.80,Cowpox
10.410.30.70.90,Ehrlichiosis (canine)
10.410.30.70.100,Hemorrhagic fevers
10.410.30.70.110,Korean hemorrhagic fever
10.410.30.70.120,Kyasanur Forest Disease
10.410.30.70.130,Labrea fever
10.410.30.70.140,Leishmaniasis
10.410.30.70.140.10,Kala-azar
10.410.30.70.150,Leptospirosis
10.410.30.70.160,Marburg fever
10.410.30.70.170,Mediterranean spotted fever
10.410.30.70.180,Monkey B
10.410.30.70.190,Nipah fever
10.410.30.70.200,Omsk hemorrhagic fever
10.410.30.70.210,Orf
10.410.30.70.220,Oropouche fever
10.410.30.70.230,Prion diseases
10.410.30.70.230.10,Creutzfeldt-Jakob disease
10.410.30.70.230.20,Fatal familial insomnia
10.410.30.70.230.30,Gerstmann-Straussler-Scheinker disease
10.410.30.70.230.40,Kuru
10.410.30.50,Veterinary prion diseases
10.410.30.50.10,Bovine spongiform encephalopathy
10.410.30.50.20,Scrapie
10.410.30.70.240,Rabies
10.410.30.70.250,Rift Valley fever
10.410.30.70.260,Streptococcus suis
10.410.30.70.270,Swine influenza
10.410.30.70.280,Taeniasis
10.410.30.70.290,Trematodosis
10.410.30.70.300,Trypanosomiasis
10.410.30.70.300.10,African trypanosomiasis
10.410.30.70.310,Tularemia
10.410.30.70.320,Typhus of rickettsiae
60.190,Inflammatory diseases
60.190.10,Gout
60.180.80.60,Meningitis
60.180.10.90,Bacterial meningitis
60.180.10.90.10,Haemophilus meningitis
10.190.60.60.140,Myositis
10.190.60.60.140.10,Dermatomyositis
10.190.60.60.140.20,Inclusion body myositis
10.190.60.60.140.30,Polymyositis
60.190.40,Rheumatic fever
60.190.50,Sarcoidosis
10.190.60.60.240,Vasculitis
10.100.80,Medical devices and equipment
10.100.80.10,Catheters
10.100.80.20,Contraceptives
10.100.80.30,Lancets
10.100.80.40,Pacemakers
10.100.80.50,Prosthetics
10.100.80.60,Respirators
60.210,Medical ethics
60.220,Medical humanities
60.220.10,Academic medicine
60.220.20,Evidence-based medicine
60.220.30,History of medicine
60.220.40,Medical education
60.220.40.10,Continuing medical education
60.220.50,Medical journals
60.220.50.10,General medical journals
60.220.50.20,Ghostwriting in medical journals
60.220.50.30,Open access medical journals
60.220.50.40,Pharmaceutical advertisements in medical journals
60.220.60,Medical law
60.220.70,Medical sociology
60.230,Medical physics
60.240,Mental health and psychiatry
60.240.10,Adolescent psychiatry
60.240.20,Amnesia
60.240.30,Behavioral disorders
60.240.30.10,Obsessive-compulsive disorder
60.240.30.20,Oppositional defiant disorder
60.240.40,Child psychiatry
60.240.50,Dementia
60.240.50.10,Alzheimer disease
60.240.50.20,Dementia with Lewy bodies
60.240.50.30,Vascular dementia
60.240.60,Eating disorders
60.240.60.10,Anorexia nervosa
60.240.60.20,Bulimia nervosa
60.240.60.30,Overeating
10.330.10.60,Gambling addiction
60.140.30,Geriatic psychiatry
60.240.90,Maladjustment
60.240.100,Mental health therapies
60.240.100.10,Drug psychotherapy
60.240.100.20,Psychoanalysis
60.240.100.30,Psychotherapy
60.240.110,Mood disorders
60.240.110.10,Bipolar disorder
60.240.110.20,Depression
60.240.110.30,Mania
60.240.120,Neuropsychiatric disorders
10.240.70.40.10,ADHD
60.240.120.20,Anxiety disorders
60.240.120.20.10,Hypochondriasis
60.240.30.10,Obsessive-compulsive disorder
60.240.120.20.30,Post-traumatic stress disorder
60.240.120.30,Tourette syndrome
60.240.130,Neuroses
60.240.120.20,Anxiety disorders
60.240.120.20.10,Hypochondriasis
60.240.30.10,Obsessive-compulsive disorder
60.240.120.20.30,Post-traumatic stress disorder
60.240.140,Personality disorders
10.330.170,Psychological stress
60.240.160,Psychoses
60.240.170,Schizophrenia
60.240.180,Self harm
60.240.190,Sexual dysfunction
60.240.200,Substance-related disorders
10.330.10.20,Alcoholism
10.330.10.50,Drug addiction
10.330.10.50.10,Prescription drug addiction
10.330.10.50.20,Recreational drug addiction
60.240.200.30,Intoxication
10.330.10.70,Nicotine addiction
10.330.10.70.10,Electronic cigarettes
60.240.200.50,Smoking related disorders
60.240.200.60,Substance abuse
10.330.10.100,Substance addiction
60.240.210,Suicide
60.250,Metabolic disorders
60.250.10,Diabetes mellitus
60.250.10.10,Gestational diabetes
60.250.10.20,Type 1 diabetes
60.250.10.30,Type 2 diabetes
60.250.10.30.10,Diet and type 2 diabetes
60.250.10.30.20,Precursors of type 2 diabetes
60.250.10.30.30,Shift work and type 2 diabetes
60.250.10.30.40,Type 2 diabetes risk
60.250.20,Dyslipidemia
60.250.30,Hyperglycemia
60.250.40,Hypoglycemia
60.250.50,Inborn errors of metabolism
60.250.60,Inherited metabolic disorders
60.40.20.80,Gaucher's disease
60.40.20.90,Glycogen storage diseases
60.40.20.110,Niemann-Pick disease
60.40.20.120,Phenylketonuria
60.250.60.50,Porphyria
60.260,Nephrology
60.260.10,Chronic kidney disease
60.260.20,Developmental nephrology
60.260.30,Geriatric nephrology
60.260.40,Glomerulonephritis
60.260.50,Kidney stones
60.260.60,Medical dialysis
60.260.70,Microalbuminuria
60.260.80,Mineral metabolism and the kidney
60.260.90,Nephritis
60.260.100,Pediatric nephrology
60.260.110,Renal cancer
60.260.120,Renal diseases
60.260.130,Renal failure
60.260.130.10,Acute renal failure
60.260.140,Tubulointerstitial disease
60.270,Neurology
60.270.10,Beriberi
60.80.70.20,Brain damage
60.270.30,Brain diseases
60.270.40,Cerebellar disorders
60.270.50,Cerebral ischemia
60.270.60,Cerebral palsy
60.270.70,Cerebrovascular diseases
60.270.70.10,Cerebral vasculitis
60.270.80,Channelopathies
10.240.40.10,Cognitive neurology
10.240.40.10.10,Cognitive impairment
10.240.40.10.20,Neuropsychological testing
60.270.100,Coma
60.270.110,Cranial nerve disorders
60.270.110.10,Facial nerve disorders
60.270.110.10.10,Bell's palsy
60.270.110.10.20,Trigeminal nerve disorders
60.240.50,Dementia
60.240.50.10,Alzheimer disease
60.240.50.20,Dementia with Lewy bodies
60.240.50.30,Vascular dementia
60.270.130,Demyelinating disorders
10.190.60.60.120,Multiple sclerosis
60.270.140,Developmental and pediatric neurology
60.270.150,Epilepsy
60.270.150.10,Epileptic seizures
60.270.150.10.10,Absence seizures
60.270.150.10.20,Atonic seizures
60.270.150.10.30,Clonic seizures
60.270.150.10.40,Myoclonic seizures
60.270.150.10.50,Tonic-clonic seizures
60.270.150.10.60,Tonic seizures
60.270.150.20,Status epilepticus
60.270.150.30,Temporal lobe epilepsy
60.270.150.40,Tonic-clonic epilepsy
60.270.160,Hydrocephalus
60.180.80,Infectious diseases of the nervous system
60.180.80.10,Cryptococcal meningitis
60.180.80.20,Encephalitis
60.180.80.20.10,Japanese encephalitis
60.180.80.20.20,Tick-borne encephalitis
60.180.80.30,Encephalomyelitis
60.180.80.40,Intracranial abscesses
60.180.80.50,Intraspinal abscesses
60.180.80.60,Meningitis
60.180.10.90,Bacterial meningitis
60.180.10.90.10,Haemophilus meningitis
60.180.80.70,Meningoencephalitis
60.180.80.80,Myelitis
60.180.80.90,Postinfectious encephalitis
60.270.180,Locked-in syndrome
60.270.190,Mental retardation
60.270.200,Muscular dystrophies
10.180.260.60.20.10.10,Duchenne muscular dystrophy
60.270.210,Neurobiology of disease and regeneration
60.270.220,Neurodegenerative diseases
60.240.50.10,Alzheimer disease
10.410.30.70.230.10,Creutzfeldt-Jakob disease
60.40.10.30,Huntington disease
60.270.220.40,Motor neuron diseases
60.270.220.40.10,Amyotrophic lateral sclerosis
60.270.220.40.20,Bulbar palsy
60.270.220.40.30,Primary lateral sclerosis
60.270.220.40.40,Progressive bulbar palsy
60.270.220.40.50,Pseudobulbar palsy
60.270.220.50,Movement disorders
60.270.220.50.10,Ataxia
60.270.220.50.20,Ataxia-telangiectasia
60.270.220.50.30,Cerebellar ataxia
60.270.220.50.40,Dystonia
60.270.220.50.50,Friedreich's ataxia
60.270.220.50.60,Parkinson disease
10.190.60.60.120,Multiple sclerosis
10.240.70.40,Neurodevelopmental disorders
10.240.70.40.10,ADHD
10.240.70.40.20,Autism
10.240.70.40.30,Stuttering
60.270.240,Neurological tumors
60.270.240.10,Astrocytoma
60.270.240.10.10,Astrocytoma cells
60.270.240.20,Brain metastasis
60.270.240.30,Brainstem gliomas
60.270.240.40,Craniopharyngioma
60.270.240.50,Ependymoma
60.270.240.60,Glioblastoma multiforme
60.270.240.70,Glioma
60.270.240.70.10,Infratentorial glioma
60.270.240.70.20,Paragangliomas
60.270.240.70.30,Pontine glioma
60.270.240.70.40,Supratentorial glioma
60.270.240.80,Hemangioblastoma
60.270.240.90,Meningioma
60.270.240.100,Oligodendroglioma
60.270.240.110,Pituitary tumors
60.270.240.120,Primary CNS lymphoma
60.270.240.130,Spinal cord tumors
60.270.240.140,Spinal metastasis
60.270.250,Neuromuscular diseases
60.270.250.10,Chronic fatigue syndrome
60.270.250.20,Fibromyalgia
60.270.260,Neuro-ophthalmology
60.270.270,Neuropathy
60.270.270.10,Optic neuropathy
60.270.270.20,Peripheral neuropathy
60.270.280,Neuropharmacology
60.80.70.50,Neurorehabilitation and trauma
60.270.300,Restless legs syndrome
60.270.310,Sleep deprivation
60.270.320,Sleep disorders
60.270.320.10,Dyssomnias
60.270.320.10.10,Hypersomnia
60.270.320.10.20,Insomnia
60.270.320.10.30,Narcolepsy
60.270.320.20,Parasomnias
60.270.320.20.10,Bruxism
60.270.320.20.20,Exploding head syndrome
60.270.320.20.30,Sleep terror
60.270.320.20.40,Somnambulism
60.270.320.30,Sleep apnea
60.270.330,Spinal cord diseases
10.150.160.20.60.10,Spina bifida
60.270.330.20,Syringomyelia and syringobulbia
60.80.70.80,Spinal cord injury
60.270.350,Tinnitus
10.250,Nutrition
10.250.10,Diet
10.250.10.10,Alcohol consumption
10.250.10.20,Beverages
10.250.10.20.10,Alcoholic beverages
10.250.10.20.10.10,Beer
10.250.10.20.10.20,Wine
10.250.10.20.20,Coffee
10.250.10.20.30,Tea
10.250.10.30,Food
10.250.10.30.10,Bread
10.250.10.30.20,Cheeses
10.250.10.30.30,Chocolate
10.250.10.30.40,Flour
10.10.100.30,Honey
10.10.100.50,Meat
10.10.100.50.10,Beef
10.10.100.50.20,Ham
10.10.100.50.30,Pork
10.250.20,Malnutrition
10.250.20.10,Starvation
10.250.30,Nutrients
10.250.30.10,Vitamins
10.250.30.10.10,B vitamins
10.250.30.10.10.10,Biotin
10.250.30.10.10.20,Cholines
10.250.30.10.10.30,Cobalamins
10.250.30.10.10.40,Folic acid
10.250.30.10.10.50,Niacin
10.250.30.10.10.60,Pantothenic acid
10.250.30.10.10.70,Pyridoxine
10.250.30.10.10.80,Riboflavin
10.250.30.10.10.90,Thiamine
10.250.30.10.10.100,Vitamin K
10.250.30.10.20,Vitamin A
10.250.30.10.30,Vitamin C
10.250.30.10.40,Vitamin D
10.250.30.10.50,Vitamin E
10.250.40,Nutritional deficiencies
10.250.40.10,Iron deficiency
10.250.40.20,Micronutrient deficiencies
10.250.40.30,Vitamin D deficiency
10.250.50,Nutritional diseases
10.250.60,Nutritional disorders
10.250.60.10,Wernicke-Korsakoff syndrome
60.290,Oncology
60.290.10,Basic cancer research
60.290.10.10,Cancer drug discovery
60.290.10.20,Metastasis
60.290.10.30,Tumor physiology
60.290.10.30.10,Tumor vasculature
60.290.10.40,Viral and bacterial causes of cancer
60.290.20,Cancer detection and diagnosis
60.290.20.10,Cancer screening
60.290.20.20,Lymphatic mapping
60.290.30,Cancer prevention
10.190.210.130.30,Cancer vaccines
60.290.40,Cancer risk factors
60.290.40.10,Aging and cancer
60.290.40.20,Cancer predisposing conditions and syndromes
60.290.40.30,Environmental causes of cancer
60.290.40.40,Genetic causes of cancer
60.290.40.50,Hormonal causes of cancer
60.290.40.60,Lifestyle causes of cancer
60.290.40.70,Nutritional correlates of cancer
60.290.40.80,Pregnancy and cancer
60.290.10.40,Viral and bacterial causes of cancer
60.290.50,Cancers and neoplasms
60.290.50.10,Adenomas
60.290.50.20,AIDS-related cancers
60.290.50.30,Benign tumors
60.290.50.40,Blastomas
60.290.50.40.10,Chondroblastoma
60.270.240.60,Glioblastoma multiforme
60.290.50.40.30,Medulloblastoma
60.290.50.40.40,Nephroblastoma
60.290.50.40.50,Neuroblastoma
60.290.50.40.60,Osteoblastoma
60.290.50.40.70,Pleuropulmonary blastoma
60.290.50.40.80,Retinoblastoma
60.290.50.50,Breast tumors
60.290.50.50.10,Benign breast tumors
60.290.50.50.20,Breast cancer
60.290.50.50.30,Ductal carcinoma in situ
60.290.50.50.40,Invasive ductal carcinoma
60.290.50.50.50,Invasive lobular carcinoma
60.290.50.50.60,Nipple tumors
60.290.50.50.70,Papillary carcinomas
60.290.50.60,Carcinomas
60.290.50.60.10,Adenocarcinomas
60.290.50.60.10.10,Adenocarcinoma of the lung
60.290.50.60.10.20,Colon adenocarcinoma
60.290.50.60.20,Basal cell carcinomas
60.290.50.60.30,Bladder carcinoma in situ
60.290.50.60.40,Buccal carcinoma
60.290.50.50.30,Ductal carcinoma in situ
60.290.50.60.60,Endometrial carcinoma
60.290.50.60.70,Extrapulmonary small cell carcinoma
60.130.210.80,Hepatocellular carcinoma
60.290.50.50.40,Invasive ductal carcinoma
60.290.50.50.50,Invasive lobular carcinoma
60.290.50.60.110,Large cell lung carcinoma
60.290.50.60.120,Nasopharyngeal carcinoma
60.290.50.50.70,Papillary carcinomas
60.290.50.60.140,Parathyroid carcinoma
60.290.50.60.150,Renal cell carcinoma
60.290.50.60.160,Squamous cell carcinomas
60.290.50.60.160.10,Head and neck squamous cell carcinoma
60.290.50.60.160.20,Squamous cell lung carcinoma
60.290.50.60.170,Thyroid carcinomas
60.290.50.60.170.10,Anaplastic thyroid carcinoma
60.290.50.60.170.20,Follicular thyroid carcinoma
60.290.50.60.170.30,Medullary thyroid carcinoma
60.290.50.60.170.40,Papillary thyroid carcinoma
60.290.50.70,Colorectal cancer
60.290.50.80,Differentiated tumors
60.290.50.90,Endocrine tumors
60.290.50.90.10,Adrenal tumors
60.290.50.90.20,Insulinoma
60.290.50.90.30,Neoplasms of the endocrine pancreas
60.290.50.60.140,Parathyroid carcinoma
60.290.50.90.50,Parathyroid tumors
60.290.50.90.60,Pheochromocytomas
60.290.50.90.70,Pituitary adenomas
60.290.50.90.80,Prolactinoma
60.290.50.60.170,Thyroid carcinomas
60.290.50.60.170.10,Anaplastic thyroid carcinoma
60.290.50.60.170.20,Follicular thyroid carcinoma
60.290.50.60.170.30,Medullary thyroid carcinoma
60.290.50.60.170.40,Papillary thyroid carcinoma
60.290.50.90.100,Thyroid lymphoma
60.290.50.100,Gastrointestinal tumors
60.290.50.100.10,Carcinoid tumor
60.290.50.100.20,Cholangiocarcinoma
60.290.50.60.10.20,Colon adenocarcinoma
60.290.50.100.40,Colonic polyps
60.290.50.100.50,Esophageal cancer
